Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Price EUR,Compare-at price,Cost per item,Charge tax,Tax code,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Форма (product.metafields.custom.application_form),За кого (product.metafields.custom.target_audience),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
"Cerave хидратиращ лосион за лице и тяло, суха към много суха кожа, деца и възрастни 236мл.597210",cerave-losion-hidratiras-za-lice-i-tyalo-236ml-597210,<p><strong>Марка:</strong> CERAVE</p> <h3>Допълнителна информация</h3> <p>Производител : LOREAL</p> <p>Баркод : 3337875597210</p>,CERAVE,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за тяло, Кремове, лосиони и други продукти за тяло, Лосиони и балсами за тяло",TRUE,Active,4221,3337875597210,,,,,,,,,,25.99,13.29,,,TRUE,,shopify,11,deny,236,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/4221/4221-cerave.jpg,1,"Cerave хидратиращ лосион за лице и тяло, суха към много суха кожа, деца и възрастни 236мл.597210",,FALSE,"Cerave хидратиращ лосион за лице и тяло, суха към много... | ViaPharma","Купете Cerave хидратиращ лосион за лице и тяло, суха към много суха кожа, деца и възрастни 236мл.597210.",,Лосион,Деца,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,4221,,,new,FALSE,CERAVE,"Козметика, красота и лична хигиена",,,
"Cerave хидратиращ лосион за лице и тяло, суха към много суха кожа, деца и възрастни 473мл.597395",cerave-losion-hidratiras-za-lice-i-tyalo-473ml-597395,"<p><strong>Марка:</strong> CERAVE</p> <h3>Състав</h3> <p>Активни съставки: серамиди, хиалуронова киселина, ниацинамид, цинков оксид.</p> <h3>Допълнителна информация</h3> <p>Производител : LOREAL</p> <p>Баркод : 3337875597395</p>",CERAVE,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за тяло, Кремове, лосиони и други продукти за тяло, Лосиони и балсами за тяло",TRUE,Active,4222,3337875597395,,,,,,,,,,31.68,16.20,,,TRUE,,shopify,11,deny,473,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/4222/4222-cerave.jpg,1,"Cerave хидратиращ лосион за лице и тяло, суха към много суха кожа, деца и възрастни 473мл.597395",,FALSE,"Cerave хидратиращ лосион за лице и тяло, суха към много... | ViaPharma","Купете Cerave хидратиращ лосион за лице и тяло, суха към много суха кожа, деца и възрастни 473мл.597395.",,Лосион,Деца,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,4222,,,new,FALSE,CERAVE,"Козметика, красота и лична хигиена",,,
"Cerave sa изглаждащ измиващ гел за лице и тяло, суха и груба кожа, 236 мл 684118",cerave-sa-izglazdas-pocistvas-gel-za-suha-i-gruba-koza-236ml-684118,<p><strong>Марка:</strong> CERAVE</p> <h3>Допълнителна информация</h3> <p>Производител : LOREAL</p> <p>Баркод : 3337875684118</p>,CERAVE,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за лице, Почистване на кожата и премахване на грим, Гелове",TRUE,Active,4205,3337875684118,,,,,,,,,,26.79,13.70,,,TRUE,,shopify,11,deny,236,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/4205/4205-cerave.jpg,1,"Cerave sa изглаждащ измиващ гел за лице и тяло, суха и груба кожа, 236 мл 684118",,FALSE,"Cerave sa изглаждащ измиващ гел за лице и тяло, суха и ... | ViaPharma","Купете Cerave sa изглаждащ измиващ гел за лице и тяло, суха и груба кожа, 236 мл 684118. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Гел,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,4205,,,new,FALSE,CERAVE,"Козметика, красота и лична хигиена",,,
"Cerave sa изглаждащ крем, суха и груба кожа, 340 г 684101 /буркан/",cerave-sa-krem-izglazdas-za-suha-i-gruba-koza-340g-684101-burkan,<p><strong>Марка:</strong> CERAVE</p> <h3>Допълнителна информация</h3> <p>Производител : LOREAL</p> <p>Баркод : 3337875684101</p>,CERAVE,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Грижа за лице, Кремове и флуиди за лице, Кремове за лице",TRUE,Active,4206,3337875684101,,,,,,,,,,42.48,21.72,,,TRUE,,shopify,11,deny,,,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/4206/4206-cerave.jpg,1,"Cerave sa изглаждащ крем, суха и груба кожа, 340 г 684101 /буркан/",,FALSE,"Cerave sa изглаждащ крем, суха и груба кожа, 340 г 6841... | ViaPharma","Купете Cerave sa изглаждащ крем, суха и груба кожа, 340 г 684101 /буркан/. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Крем,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,4206,,,new,FALSE,CERAVE,"Козметика, красота и лична хигиена",,,
Chamos Acaci Бълбукаща детоксикираща маска 25мл .,chamos-acaci-bylbukashta-detoksikirashta-maska-25ml,"<p><strong>Марка:</strong> CHAMOS</p> <h3>Описание</h3> <p>Бълбукаща детоксикираща маска Chamos ACACI Sparkling Bubble Mask Pack.Черната бамбукова маска въздейства на кожата, благодарение на почистващите свойства на зеления чай и незаменимите плодови аминокиселини. Подхранващите съставки от женско биле /сладък корен/, джинжифил, шизандра и прополис правят кожата еластична и сияйна. Хиалуроновата киселина и алантоина хидратират и успокояват. Ниацинамид и аденозин - допълнително подпомагат изсветляването на кожата и изглаждането на бръчки.</p> <h3>Състав</h3> <p>Glycyrrhyza Glabra (Licorice) Root Extract, Zingiber Officinale (Ginger) Root Extract, Schizandra Chinesis Fruit Extract, Coptis Japonica Root Extract, Camellia Sinensis Leaf Extract, Propolis Wax, Hydrolyzed Collagen, Charcoal Powder.</p> <h3>Начин на употреба</h3> <p>Преди да отворите опаковката потупайте я 2-3 пъти на дланта на ръката, за да разпределите равномерно концентрата от</p> <h3>Допълнителна информация</h3> <p>Производител : CHAMOS</p> <p>Баркод : 8809071360813</p>",CHAMOS,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Корейска козметика",TRUE,Active,26247,8809071360813,,,,,,,,,,3.99,2.04,,,TRUE,,shopify,11,deny,25,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/26247/26247-olkom.jpg,1,Chamos Acaci Бълбукаща детоксикираща маска 25мл .,,FALSE,CHAMOS Acaci Бълбукаща детоксикираща маска 25мл . | ViaPharma,"Купете Chamos Acaci Бълбукаща детоксикираща маска 25мл .. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Маска,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,26247,,,new,FALSE,CHAMOS,"Козметика, красота и лична хигиена",,,
Chamos Acaci Ексфолираща маска за крака с омекотяващ ефект 12мл.,chamos-acaci-eksfolirashta-maska-za-kraka-s-omekotqvasht-efekt-12ml,"<p><strong>Марка:</strong> CHAMOS</p> <h3>Описание</h3> <p>Ексфолираща маска за крака с омекотяващ ефект Chamos Acaci Soft Foot Peeling Pack.Ефективното действие на маската тип 'чорап' бързо възстановява грубата кожа на стъпалата. Силно концентрираният активен състав прониква в дълбочина и ефективно премахва твърдата и загрубяла кожа на стъпалата. Плодовите киселини и подхранващите масла действат противовъзпалително и антисептично.Постигнати резултати: премахва мазолите, осезаемо омекотява силно напукана и груба кожа на стъпалата, неутрализира неприятните миризми и доставя релаксиращо чувство за уморените крака.</p> <h3>Състав</h3> <p>Water, Alcohol, Lactic Acid, Propylene Glycol, Sodium Lauryl Sulfate, Glycolic Acid, Arginine, Betaine, PEG-60 Hydrogenated Castor Oil, Citrus Aurantium Dulcis (Orange) Oil, Sodium Citrate, Butylene Glycol, Phenoxyethanol, Serine, Alanine, Limonene Salvia Officinalis (Sage) Extract, Malic Acid, Rosmarinus Officinalis (Rosemary) Extract, Camellia Sinensis Leaf Extract, Aloe Barbadensis Leaf Extract, Citric Acid, Actinidia Chinensis (Kiwi) Fruit Extract, Cedrus Atlantica Bark Oil, Equisetum Arvense Extract;</p> <h3>Начин на употреба</h3> <p>Преди да отворите опаковката потупайте я 2-3 пъти на дланта на ръката, за да разпределите равномерно концентрата от</p> <h3>Допълнителна информация</h3> <p>Производител : CHAMOS</p> <p>Баркод : 8809071360608</p>",CHAMOS,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Корейска козметика",TRUE,Active,26256,8809071360608,,,,,,,,,,7.49,3.83,,,TRUE,,shopify,11,deny,12,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/26256/26256-olkom.jpg,1,Chamos Acaci Ексфолираща маска за крака с омекотяващ ефект 12мл.,,FALSE,Chamos Acaci Ексфолираща маска за крака с омекотяващ еф... | ViaPharma,"Купете Chamos Acaci Ексфолираща маска за крака с омекотяващ ефект 12мл.. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Маска,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,26256,,,new,FALSE,CHAMOS,"Козметика, красота и лична хигиена",,,
Chamos Acaci Хидратираща маска за ръце с подмладяващ ефект с екстракт от охлюви SPA – терапия 8мл.,chamos-acaci-hidratirashta-maska-za-ryce-s-podmladqvasht-efekt-s-ekstrakt-ot-ohlyuvi-spa-terapiq-8ml,"<p><strong>Марка:</strong> CHAMOS</p> <h3>Описание</h3> <p>Невероятната маска гарантира видими резултати веднага след употребата u. Концентрираното действие на активните съставки хидратира и възстановява кожата в дълбочина. Безценните свойства на екстрактa от охлюви, познат още като """"серум на младостта"""" видимо съживяват сухата кожа на ръцете, а подхранващите масла възвръщат младежкият u вид. Отлично омекотява и хидратира ноктите и кутикулите.</p> <p>Постигнати резултати</p> <p>Образува защитен филм, който предпазва кожата на ръцете от ежедневното увреждане. Премахва чувството за сухота. Тонизира и придава кадифена мекота и свежест.</p> <h3>Състав</h3> <p>Water, Glycerin, Butylene Glycol, Helianthus Annuus (Sunflower) Seed Oil, Cetearyl Alcohol, Butyrospermum Parkii (Shea) Butter, Isopropyl Myristate, Urea, Betaine, Caprylic/Capric Triglyceride, Glyceryl Stearate, Sodium Hyaluronate, Portulaca Oleracea Extract, Hamamelis Virginiana (Witch Hazel) Extract, Aloe Barbadensis Leaf Extract, Dimethicone, Biosaccharide Gum-1, Peg-32, 1,2-Hexanediol, Polysorbate 60, Persea Gratissima (Avocado) Oil, Melalевропейски Съюзca Alternifolia (Tea Tree) Leaf Oil, Steareth-2, Steareth-21, Stearic Acid, Carbomer, Citrus Paradisi (Grapefruit) Fruit Extract, Collagen, Xanthan Gum, Snail Secretion Filtrate, Allantoin, Fragrance, Disodium Edta.</p> <h3>Начин на употреба</h3> <p>Преди да отворите опаковката потупайте я 2-3 пъти на дланта на ръката, за да разпределите равномерно концентрата от</p> <h3>Допълнителна информация</h3> <p>Производител : CHAMOS</p> <p>Баркод : 8809071360592</p>",CHAMOS,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Корейска козметика",TRUE,Active,26255,8809071360592,,,,,,,,,,4.60,2.35,,,TRUE,,shopify,11,deny,8,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/26255/26255-olkom.jpg,1,Chamos Acaci Хидратираща маска за ръце с подмладяващ ефект с екстракт от охлюви SPA – терапия 8мл.,,FALSE,Chamos Acaci Хидратираща маска за ръце с подмладяващ еф... | ViaPharma,Купете Chamos Acaci Хидратираща маска за ръце с подмладяващ ефект с екстракт от охлюви SPA – терапия 8мл..,,Маска,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,26255,,,new,FALSE,CHAMOS,"Козметика, красота и лична хигиена",,,
Chamos Acaci Колагенова маска с мигновен лифтинг ефект 23мл.,chamos-acaci-kolagenova-maska-s-mignoven-lifting-efekt-23ml,"<p><strong>Марка:</strong> CHAMOS</p> <h3>Описание</h3> <p>Колагенова маска с мигновен лифтинг ефект Chamos Acaci Collagen Rеpair Silk Mask Pack.Бързо действащата маска видимо озарява кожата на лицето. Високото съдържание на колаген и бета-глюкани прониква в дълбочина, ускорява процеса на регенериране и подмладяване. Оставя кожата хидратирана и жизнена.Ултра тънката материя на маската е изработена от евкалиптова дървесина със сертифициран произход. Следва плътно контурите на лицето и осигурява копринено мек допир. Био целулозата задържа дълготрайно влагата в дълбоките пластове на кожата, улеснявайки усвояването на активните съставки на маската.</p> <h3>Състав</h3> <p>Water, Glycerin, Butylene Glycol, Aloe Barbadensis Leaf Juice, Propylene Glycol, Trehalose, Hydrolyzed Collagen, Sodium Hyaluronate, Peg-60 Hydrogenated Castor Oil, Benzyl Glycol, Sodium Carbomer, Simmondsia Chinensis (Jojoba) Seed Oil, Allantoin, Butoxydiglycol, Butyrospermum Parkii (Shea Butter), Caprylic/Capric Triglyceride, Xanthan Gum, Dipotassium Glycyrrhizate, Raspberry Ketone, Beta-Glucan, Centella Asiatica Extract, Disodium Edta, Sodium Chondroitin Sulfate, Potassium Sorbate, Portulaca Oleracea Extract, Sodium Benzoate, Chamaecyparis Obtusa Leaf Extract, Origanum Vulgare Leaf Extract, Salix Alba (Willow) Bark Extract, Cinnamomum Cassia Bark Extract, Lactobacillus/Soybean Ferment Extract, Scutellaria Baicalensis Root Extract, Citric Acid, Copper Tripeptide-1, Phenoxyethanol, Fragrance</p> <h3>Начин на употреба</h3> <p>Преди да отворите опаковката потупайте я 2-3 пъти на дланта на ръката, за да разпределите равномерно концентрата от</p> <h3>Допълнителна информация</h3> <p>Производител : CHAMOS</p> <p>Баркод : 8809071360523</p>",CHAMOS,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Корейска козметика",TRUE,Active,26249,8809071360523,,,,,,,,,,3.99,2.04,,,TRUE,,shopify,11,deny,23,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/26249/26249-olkom.jpg,1,Chamos Acaci Колагенова маска с мигновен лифтинг ефект 23мл.,,FALSE,Chamos Acaci Колагенова маска с мигновен лифтинг ефект ... | ViaPharma,"Купете Chamos Acaci Колагенова маска с мигновен лифтинг ефект 23мл.. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Маска,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,26249,,,new,FALSE,CHAMOS,"Козметика, красота и лична хигиена",,,
Chamos Acaci Почистваща маска с бамбуков въглен и пептиди 23мл.,chamos-acaci-pochistvashta-maska-s-bambukov-vyglen-i-peptidi-23ml,"<p><strong>Марка:</strong> CHAMOS</p> <h3>Описание</h3> <p>Почистваща маска с бамбуков въглен и пептиди Chamos Acaci Charcoal Repair Silk Mask Pack.Чудодейният състав на маската ефективно възстановява кожата. Богатите свойства на бамбуковият въглен в съчетание с пептидите трайно противодействат на свързаните с възрастта промени. Проникват дълбоко в клетките, като стимулират метаболитната им активност. Възвръщат доброто състояние и свежестта на кожата. Нетъканата био материя e създадена от целулозни влакна на бамбук със сертифициран произход. Прилепва плътно по кожата, като я хидратира в дълбочина. Невероятните свойства на влакната увеличават действието на активният състав на маската, осигурявайки двойна грижа за увредената кожа. Ефективното съчетание спомага за бързата регенерация на кожата.</p> <h3>Състав</h3> <p>Water, Glycerin, Butylene Glycol, Aloe Barbadensis Leaf Juice, Propylene Glycol, Trehalose, Sodium Hyaluronate, Peg-60 Hydrogenated Castor Oil, Benzyl Glycol, Sodium Carbomer, Simmondsia Chinensis (Jojoba) Seed Oil, Allantoin, Butoxydiglycol, Butyrospermum Parkii (Shea Butter), Caprylic/Capric Triglyceride, Xanthan Gum, Dipotassium Glycyrrhizate, Raspberry Ketone, Beta-Glucan, Centella Asiatica Extract, Disodium Edta, Bambusa Vulgaris Extract, Charcoal Powder, Sodium Chondroitin Sulfate, Potassium Sorbate, Portulaca Oleracea Extract, Sodium Benzoate, Chamaecyparis Obtusa Leaf Extract, Origanum Vulgare Leaf Extract, Salix Alba (Willow) Bark Extract, Cinnamomum Cassia Bark Extract, Lactobacillus/Soybean Ferment Extract, Scutellaria Baicalensis Root Extract, Citric Acid, Copper Tripeptide-1, Phenoxyethanol, Fragrance.</p> <h3>Начин на употреба</h3> <p>Преди да отворите опаковката потупайте я 2-3 пъти на дланта на ръката, за да разпределите равномерно концентрата от</p> <h3>Допълнителна информация</h3> <p>Производител : CHAMOS</p> <p>Баркод : 8809071360400</p>",CHAMOS,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Корейска козметика",TRUE,Active,26248,8809071360400,,,,,,,,,,3.99,2.04,,,TRUE,,shopify,11,deny,23,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/26248/26248-olkom.jpg,1,Chamos Acaci Почистваща маска с бамбуков въглен и пептиди 23мл.,,FALSE,Chamos Acaci Почистваща маска с бамбуков въглен и пепти... | ViaPharma,"Купете Chamos Acaci Почистваща маска с бамбуков въглен и пептиди 23мл.. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Маска,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,26248,,,new,FALSE,CHAMOS,"Козметика, красота и лична хигиена",,,
Chamos Acaci Подхранваща маска с козе мляко 23мл.,chamos-acaci-podhranvashta-maska-s-koze-mlqko-23ml,"<p><strong>Марка:</strong> CHAMOS</p> <h3>Описание</h3> <p>Разкошният коктейл от козе мляко, конско масло и екстракт от охлюв благотворно възстановява сухата и изтощена кожа. Лечебните свойства на конското масло намират ефективно приложение в козметологията. Маслото (BAHYU) е 100% извлек от богатата на основни мастни киселини конска мас. Ултра тънката материя на маската е изработена от евкалиптова дървесина със сертифициран произход. Следва плътно контурите на лицето и осигурява копринено мек допир. Био целулозата задържа дълготрайно влагата в дълбоките пластове на кожата, улеснявайки усвояването на активните съставки на маската.</p> <h3>Състав</h3> <p>Water, Glycerin, Niacinamide, Dipropylene Glycol, 1,2-Hexanediol, Goat Milk Extract, Snail Secretion Filtrate, Sodium Hyaluronate, PEG-60 Hydrogenated Castor Oil, Betaine, Sodium Carbomer, Hydrolyzed Collagen, Chlorphenesin, Horse Fat, Allantoin, Cucumis Sativus (Cucumber) Fruit Extract, Xanthan Gum, Ethylhexylglycerin, Adenosine, Disodium EDTA, Dipotassium Glycyrrhizate, Nelumbo Nucifera Flower Extract, Iris Versicolor Extract, Leontopodium Alpinum Flower/Leaf Extract, Lilium Candidum Flower Extract, Jasminum Officinale (Jasmine) Flower Extract, Freesia Refracta Extract, Rosa Centifolia Flower Extract, Centella Asiatica Extract, Scutellaria Baicalensis Root Extract, Salix Alba (Willow) Bark Extract, Origanum Vulgare Leaf Extract, Chamaecyparis Obtusa Leaf Extract, Polygonum Cuspidatum Root Extract, Lactobacillus/Soybean Ferment Extract, Cinnamomum Cassia Bark Extract, Portulaca Oleracea Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract,</p> <h3>Начин на употреба</h3> <p>Преди да отворите опаковката потупайте я 2-3 пъти на дланта на ръката, за да разпределите равномерно концентрата от</p> <h3>Допълнителна информация</h3> <p>Производител : CHAMOS</p> <p>Баркод : 8809071361216</p>",CHAMOS,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Корейска козметика",TRUE,Active,26251,8809071361216,,,,,,,,,,3.99,2.04,,,TRUE,,shopify,11,deny,23,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/26251/26251-olkom.jpg,1,Chamos Acaci Подхранваща маска с козе мляко 23мл.,,FALSE,CHAMOS Acaci Подхранваща маска с козе мляко 23мл. | ViaPharma,"Купете Chamos Acaci Подхранваща маска с козе мляко 23мл.. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Маска,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,26251,,,new,FALSE,CHAMOS,"Козметика, красота и лична хигиена",,,
Chamos Acaci Подмладяваща пептидна маска с пчелно млечице и хиалуронова киселина 23мл.,chamos-acaci-podmladqvashta-peptidna-maska-s-pchelno-mlechice-i-hialuronova-kiselina-23ml,"<p><strong>Марка:</strong> CHAMOS</p> <h3>Описание</h3> <p>Пептидна подмладяваща маска за лице с пчелно млечице и хиалуронова киселина Chamos Acaci Skin-Relaxing Honey Mask.Кралският коктейл от</p> <h3>Състав</h3> <p>на маската с мед осигурява дълбоко подхранване и бърз анти-ейдж ефект за зрялата и суха кожа. Съчетанието от ниацинамид и соеви протеини стяга кожата, намалява пигментацията, успокоява раздразненията и разглажда фините бръчки. Съвършено фината материя на маската следва плътно контурите на лицето, осигурявайки копринено мек допир. Концентрираното съдържание на пчелно млечице и козе мляко нежно омекотява и видимо възстановява кожата.</p> <h3>Начин на употреба</h3> <p>Преди да отворите опаковката потупайте я 2-3 пъти на дланта на ръката, за да разпределите равномерно концентрата от</p> <h3>Допълнителна информация</h3> <p>Производител : CHAMOS</p> <p>Баркод : 8809071360189</p>",CHAMOS,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Корейска козметика",TRUE,Active,26252,8809071360189,,,,,,,,,,3.99,2.04,,,TRUE,,shopify,11,deny,23,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/26252/26252-olkom.jpg,1,Chamos Acaci Подмладяваща пептидна маска с пчелно млечице и хиалуронова киселина 23мл.,,FALSE,Chamos Acaci Подмладяваща пептидна маска с пчелно млечи... | ViaPharma,"Купете Chamos Acaci Подмладяваща пептидна маска с пчелно млечице и хиалуронова киселина 23мл.. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Маска,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,26252,,,new,FALSE,CHAMOS,"Козметика, красота и лична хигиена",,,
Chamos Acaci Повдигащи и стягащи хидрогел пачове за идеален бюст 20мл.,chamos-acaci-povdigashti-i-stqgashti-hidrogel-pachove-za-idealen-byust-20ml,"<p><strong>Марка:</strong> CHAMOS</p> <h3>Описание</h3> <p>Силно концентрирани хидрогел пачове с повдигащо и стягащо действие за бюст. Изглаждат кожата и предотвратяват преждевременното стареене на гръдната линия. Нормализират хидро-липидния баланс. Благодарение на анатомичната си форма хидрогел пачовете идеално прилепват към извивката на гърдите. Растителният екстракт Пуерария мирифика съдържа фитоестрогени, които активират повдигащия ефект и стягат гърдите. Богатият коктейл от източни билки увеличава еластичността на кожата в гръдната област. Действа подхранващо и овлажняващо с мигновен лифтинг ефект. Успокоява раздразнена кожа.</p> <h3>Състав</h3> <p>Water, Glycerin, Sodium polyacrylate, Carbomer, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract, Butylene Glycol, Sodium Hyaluronate, Hydrolyzed Collagen, Snail Secretion Filtrate, Nelumbium Speciosum Flower Extract, Iris Versicolor Extract, Leontopodium Alpinum Flower(Leaf) Extract, Lilium Candidum Flower Extract, Jasminum Officinale (Jasmine) Flower Extract, Freesia Refracta Extract, Rosa Centifolia Flower Extract, Soy Isoflavones, Aluminum Glycinate, Tartaric acid, Allantoin, Citric Acid, Pueraria Mirifica Root Extract, Disodium EDTA, Dipotassium Glycyrrhizate, Adenosine, Anemarrhena Asphodeloides Root Extract.</p> <h3>Начин на употреба</h3> <p>Преди да отворите опаковката потупайте я 2-3 пъти на дланта на ръката, за да разпределите равномерно концентрата от</p> <h3>Допълнителна информация</h3> <p>Производител : CHAMOS</p> <p>Баркод : 8809071362466</p>",CHAMOS,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Корейска козметика",TRUE,Active,26245,8809071362466,,,,,,,,,,8.00,4.09,,,TRUE,,shopify,11,deny,20,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/26245/26245-olkom.jpg,1,Chamos Acaci Повдигащи и стягащи хидрогел пачове за идеален бюст 20мл.,,FALSE,Chamos Acaci Повдигащи и стягащи хидрогел пачове за иде... | ViaPharma,"Купете Chamos Acaci Повдигащи и стягащи хидрогел пачове за идеален бюст 20мл.. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,26245,,,new,FALSE,CHAMOS,"Козметика, красота и лична хигиена",,,
Chamos Acaci Възстановяваща и регенерираща маска с екстракт от охлюви 20мл,chamos-acaci-vyzstanovqvashta-i-regenerirashta-maska-s-ekstrakt-ot-ohlyuvi-20ml,"<p><strong>Марка:</strong> CHAMOS</p> <h3>Описание</h3> <p>Почувствайте бързите видими резултати, които дава възстановяващата и регенерираща маска. Екстрактът от охлюви е наричан ""серум на младостта"" защото съдържа алантоин, колаген, еластин, естествена гликолова киселина и натурални антибиотици. В комбинация със специално подбраните</p> <h3>Състав</h3> <p>кожата се подмладява и възвръща красотата си.</p> <p>- забавя стареенето</p> <p>- намалява бръчките</p> <p>- подмладява кожата</p> <p>- стимулира регенерацията на клетките</p> <p>- редуцира интензивността на пигментацията</p> <p>- изравнява тена</p> <p>- помага при акне, белези, изгаряне и наранявания.</p> <h3>Начин на употреба</h3> <p>Преди да отворите опаковката потупайте я 2-3 пъти на дланта на ръката, за да разпределите равномерно концентрата от</p> <h3>Допълнителна информация</h3> <p>Производител : CHAMOS</p> <p>Баркод : 8809071360820</p>",CHAMOS,,"Козметика, красота и лична хигиена","Козметика, красота и лична хигиена, Корейска козметика",TRUE,Active,26266,8809071360820,,,,,,,,,,3.99,2.04,,,TRUE,,shopify,11,deny,20,g,TRUE,manual,https://benu.bg/media/cache/product_view_default/images/products/26266/26266-olkom.jpg,1,Chamos Acaci Възстановяваща и регенерираща маска с екстракт от охлюви 20мл,,FALSE,Chamos Acaci Възстановяваща и регенерираща маска с екст... | ViaPharma,"Купете Chamos Acaci Възстановяваща и регенерираща маска с екстракт от охлюви 20мл. Поръчайте в Козметика, красота и лична хигиена на ViaPharma.",,Маска,Възрастни,Health & Beauty > Personal Care > Cosmetics,Unisex,adult,26266,,,new,FALSE,CHAMOS,"Козметика, красота и лична хигиена",,,
